     -14 0.000926        0        0  0.00217      286
   -13.5  0.00126        0        0  0.00491      502
     -13  0.00173        0        0  0.00601      368
   -12.5  0.00235        0        0  0.00739      267
     -12  0.00322        0        0  0.00909      197
   -11.5  0.00438        0        0   0.0111      143
     -11  0.00596        0        0   0.0136      105
   -10.5   0.0081        0        0   0.0166     76.9
     -10    0.011        0        0   0.0194     58.2
    -9.8   0.0124        0        0   0.0216     48.7
    -9.6    0.014        0        0   0.0235     43.4
    -9.4   0.0158        0        0   0.0252     38.1
    -9.2   0.0178        0        0   0.0274     33.8
      -9   0.0201        0        0   0.0294     29.8
    -8.8   0.0226        0        0   0.0312       26
    -8.6   0.0254        0        0    0.034     23.2
    -8.4   0.0286        0        0   0.0365     20.5
    -8.2   0.0321        0        0   0.0388       18
      -8    0.036        0        0   0.0418       16
    -7.8   0.0404        0        0   0.0451     14.3
    -7.6   0.0453        0        0   0.0477     12.5
    -7.4   0.0506        0        0   0.0504     10.9
    -7.2   0.0565        0        0   0.0538     9.72
      -7    0.063        0        0   0.0573     8.64
    -6.8   0.0702        0        0    0.061     7.67
    -6.6   0.0781        0        0   0.0639     6.74
    -6.4   0.0866        0        0   0.0674     5.97
    -6.2    0.096        0        0   0.0706     5.28
      -6    0.106        0        0   0.0739     4.67
    -5.8    0.117        0        0   0.0783     4.21
    -5.6    0.129        0        0   0.0824     3.76
    -5.4    0.142        0        0   0.0862     3.35
    -5.2    0.156        0        0   0.0867      2.9
      -5     0.17        0        0   0.0901     2.58
    -4.8    0.186        0        0   0.0963     2.39
    -4.6    0.203        0        0   0.0992     2.13
    -4.4    0.221        0        0    0.102      1.9
    -4.2     0.24        0        0    0.105      1.7
      -4     0.26        0        0    0.107     1.52
    -3.8    0.281        0        0    0.109     1.36
    -3.6    0.303        0        0    0.112     1.23
    -3.4    0.326        0        0    0.111     1.09
    -3.2    0.349        0        0    0.114    0.984
      -3    0.374        0        0    0.118    0.913
    -2.8      0.4        0        0     0.12     0.83
    -2.6    0.427        0        0     0.12    0.743
    -2.4    0.454        0        0    0.121    0.679
    -2.2    0.483        0        0    0.121    0.614
      -2    0.511        0        0    0.121    0.555
    -1.8    0.541        0        0    0.123    0.514
    -1.6    0.571        0        0    0.123    0.468
    -1.4    0.602        0        0    0.124    0.435
    -1.2    0.634        0        0    0.124    0.399
      -1    0.666        0        0    0.122    0.362
    -0.8    0.698        0        0    0.122    0.334
    -0.6    0.731        0        0    0.122    0.309
    -0.4    0.764        0        0     0.12    0.283
    -0.2    0.797        0        0     0.12    0.264
       0    0.831        0        0    0.119    0.243
     0.2    0.864        0        0    0.117    0.224
     0.4    0.898        0        0    0.117    0.211
     0.6    0.932        0        0    0.116    0.196
     0.8    0.966        0        0    0.115    0.182
       1        1        0        0    0.107    0.161
     1.2     1.03        0        0    0.115    0.164
     1.4     1.07        0        0    0.114    0.154
     1.6      1.1        0        0    0.113    0.143
     1.8     1.14        0        0    0.112    0.136
       2     1.17        0        0   0.0949     0.11
     2.2      1.2        0        0     0.11    0.121
     2.4     1.24        0        0    0.109    0.115
     2.6     1.27        0        0   0.0923   0.0931
     2.8      1.3        0        0   0.0916   0.0888
       3     1.33        0        0    0.106   0.0983
     3.2     1.37        0        0    0.105    0.094
     3.4      1.4        0        0   0.0894   0.0766
     3.6     1.43        0        0   0.0888   0.0734
     3.8     1.46        0        0   0.0882   0.0704
       4     1.49        0        0   0.0876   0.0676
     4.2     1.52        0        0    0.087   0.0649
     4.4     1.55        0        0   0.0721   0.0524
     4.6     1.57        0        0   0.0716   0.0504
     4.8      1.6        0        0   0.0855   0.0586
       5     1.63        0        0   0.0709   0.0473
     5.2     1.65        0        0   0.0564   0.0367
     5.4     1.67        0        0   0.0702   0.0446
     5.6      1.7        0        0   0.0699   0.0435
     5.8     1.72        0        0   0.0556   0.0338
       6     1.74        0        0   0.0554    0.033
     6.2     1.76        0        0   0.0552   0.0323
     6.4     1.78        0        0    0.055   0.0316
     6.6      1.8        0        0   0.0411   0.0233
     6.8     1.81        0        0    0.041   0.0228
       7     1.83        0        0   0.0409   0.0225
     7.2     1.84        0        0   0.0408    0.022
     7.4     1.86        0        0   0.0407   0.0218
     7.6     1.87        0        0   0.0271   0.0143
     7.8     1.88        0        0    0.027   0.0141
       8     1.89        0        0    0.027    0.014
     8.2      1.9        0        0   0.0269   0.0139
     8.4     1.91        0        0   0.0269   0.0137
     8.6     1.92        0        0   0.0268   0.0136
     8.8     1.93        0        0   0.0268   0.0134
       9     1.94        0        0   0.0134  0.00668
     9.2     1.94        0        0   0.0134  0.00661
     9.4     1.95        0        0   0.0134  0.00661
     9.6     1.95        0        0   0.0133  0.00654
     9.8     1.96        0        0   0.0133  0.00654
      10     1.96        0        0   0.0133  0.00647
    10.2     1.97        0        0   0.0133  0.00647
    10.4     1.97        0        0        0        0
    10.6     1.97        0        0   0.0133  0.00641
    10.8     1.98        0        0   0.0133  0.00641
      11     1.98        0        0        0        0
    11.2     1.98        0        0        0        0
    11.4     1.98        0        0   0.0133  0.00634
    11.6     1.99        0        0   0.0133  0.00634
    11.8     1.99        0        0        0        0
      12     1.99        0        0        0        0
    12.5     1.99        0        0        0        0
      13     1.99        0        0   0.0053  0.00251
    13.5        2        0        0   0.0053  0.00251
      14        2        0        0        0        0
    14.5        2        0        0        0        0
      15        2        0        0        0        0
    15.5        2        0        0        0        0
      16        2        0        0        0        0
