   -11.5 0.000837        0        0  0.00285      407
     -11  0.00127        0        0  0.00651      671
   -10.5  0.00191        0        0  0.00856      441
     -10  0.00289        0        0   0.0112      293
    -9.5  0.00434        0        0   0.0146      192
      -9  0.00651        0        0   0.0189      128
    -8.5  0.00972        0        0   0.0243     84.2
      -8   0.0144        0        0   0.0311     55.7
    -7.5   0.0212        0        0   0.0389     36.9
      -7   0.0307        0        0   0.0477     24.3
    -6.5   0.0438        0        0   0.0549     16.8
    -6.3     0.05        0        0   0.0609     13.4
    -6.1   0.0573        0        0   0.0665     11.8
    -5.9   0.0654        0        0   0.0703     9.98
    -5.7   0.0743        0        0   0.0737     8.46
    -5.5    0.084        0        0   0.0776     7.25
    -5.3   0.0947        0        0   0.0804     6.18
    -5.1    0.106        0        0    0.082     5.21
    -4.9    0.118        0        0   0.0882     4.65
    -4.7    0.132        0        0   0.0949     4.18
    -4.5    0.147        0        0   0.0979      3.6
    -4.3    0.163        0        0   0.0977     3.04
    -4.1    0.179        0        0   0.0976     2.58
    -3.9    0.196        0        0    0.103     2.34
    -3.7    0.215        0        0    0.106     2.07
    -3.5    0.234        0        0    0.105     1.79
    -3.3    0.254        0        0     0.11     1.63
    -3.1    0.276        0        0    0.113     1.45
    -2.9    0.298        0        0    0.112     1.27
    -2.7    0.321        0        0    0.112     1.12
    -2.5    0.344        0        0    0.112    0.995
    -2.3    0.368        0        0    0.112     0.89
    -2.1    0.392        0        0    0.114    0.813
    -1.9    0.418        0        0    0.114    0.734
    -1.7    0.443        0        0    0.111     0.65
    -1.5    0.469        0        0    0.112    0.593
    -1.3    0.495        0        0     0.11    0.532
    -1.1    0.521        0        0    0.108     0.48
    -0.9    0.547        0        0    0.106    0.435
    -0.7    0.573        0        0    0.104    0.397
    -0.5    0.599        0        0    0.103    0.363
    -0.3    0.625        0        0   0.0995    0.327
    -0.1     0.65        0        0   0.0962    0.296
     0.1    0.675        0        0   0.0931     0.27
     0.3    0.699        0        0    0.092    0.251
     0.5    0.724        0        0   0.0891     0.23
     0.7    0.747        0        0   0.0827    0.202
     0.9    0.769        0        0     0.08    0.186
     1.1    0.791        0        0   0.0793    0.176
     1.3    0.813        0        0    0.075    0.159
     1.5    0.833        0        0   0.0691    0.141
     1.7    0.852        0        0   0.0668    0.131
     1.9    0.871        0        0   0.0663    0.125
     2.1     0.89        0        0   0.0624    0.114
     2.3    0.907        0        0   0.0585    0.103
     2.5    0.924        0        0   0.0565   0.0968
     2.7     0.94        0        0   0.0528   0.0878
     2.9    0.955        0        0   0.0508   0.0823
     3.1     0.97        0        0   0.0505   0.0797
     3.3    0.985        0        0   0.0503   0.0773
     3.5        1        0        0   0.0417   0.0628
     3.7     1.01        0        0   0.0498   0.0728
     3.9     1.03        0        0   0.0496   0.0714
     4.1     1.04        0        0   0.0493   0.0687
     4.3     1.06        0        0   0.0654    0.089
     4.5     1.08        0        0   0.0488   0.0649
     4.7     1.09        0        0   0.0485   0.0626
     4.9     1.11        0        0   0.0644   0.0812
     5.1     1.13        0        0    0.064   0.0783
     5.3     1.15        0        0   0.0636   0.0756
     5.5     1.17        0        0   0.0633   0.0731
     5.7     1.19        0        0   0.0629   0.0706
     5.9     1.21        0        0   0.0626   0.0683
     6.1     1.23        0        0   0.0622   0.0661
     6.3     1.25        0        0   0.0773   0.0794
     6.5     1.28        0        0   0.0769   0.0769
     6.7      1.3        0        0   0.0763   0.0734
     6.9     1.33        0        0   0.0759   0.0712
     7.1     1.35        0        0   0.0753   0.0681
     7.3     1.38        0        0   0.0749   0.0661
     7.5      1.4        0        0   0.0744   0.0633
     7.7     1.43        0        0   0.0741   0.0616
     7.9     1.45        0        0   0.0735   0.0591
     8.1     1.48        0        0   0.0878   0.0685
     8.3     1.51        0        0   0.0727   0.0552
     8.5     1.53        0        0   0.0722   0.0531
     8.7     1.56        0        0   0.0719   0.0517
     8.9     1.58        0        0   0.0715   0.0498
     9.1     1.61        0        0   0.0712   0.0485
     9.3     1.63        0        0   0.0707   0.0468
     9.5     1.66        0        0   0.0705   0.0456
     9.7     1.68        0        0   0.0561   0.0354
     9.9      1.7        0        0   0.0559   0.0346
    10.1     1.72        0        0   0.0695    0.042
    10.3     1.75        0        0   0.0692   0.0411
    10.5     1.77        0        0   0.0551   0.0319
    10.7     1.79        0        0   0.0412   0.0235
    10.9      1.8        0        0   0.0411    0.023
    11.1     1.82        0        0   0.0546   0.0302
    11.3     1.84        0        0   0.0408   0.0223
    11.5     1.85        0        0   0.0407   0.0218
    11.7     1.87        0        0   0.0406   0.0216
    11.9     1.88        0        0    0.027   0.0141
    12.1     1.89        0        0   0.0404   0.0209
    12.3     1.91        0        0   0.0403   0.0207
    12.5     1.92        0        0   0.0268   0.0136
    12.7     1.93        0        0   0.0134  0.00675
    12.9     1.93        0        0   0.0134  0.00668
    13.1     1.94        0        0   0.0267   0.0133
    13.3     1.95        0        0   0.0267   0.0131
    13.5     1.96        0        0   0.0187  0.00913
      14     1.97        0        0   0.0106  0.00515
    14.5     1.98        0        0   0.0106   0.0051
      15     1.99        0        0   0.0053  0.00254
    15.5     1.99        0        0        0        0
      16     1.99        0        0   0.0053  0.00251
    16.5        2        0        0   0.0053  0.00251
      17        2        0        0        0        0
    17.5        2        0        0        0        0
      18        2        0        0        0        0
    18.5        2        0        0        0        0
