     -11 0.000396        0        0  0.00213      994
   -10.5 0.000653        0        0  0.00513  1.6e+03
     -10  0.00108        0        0  0.00705      963
    -9.5  0.00176        0        0  0.00972      579
      -9  0.00288        0        0   0.0135      355
    -8.5   0.0047        0        0   0.0183      215
      -8  0.00758        0        0   0.0235      138
    -7.8  0.00916        0        0   0.0272      103
    -7.6    0.011        0        0   0.0302     83.5
    -7.4   0.0132        0        0   0.0344       70
    -7.2   0.0159        0        0   0.0384     57.8
      -7    0.019        0        0   0.0423     47.1
    -6.8   0.0227        0        0   0.0459     38.3
    -6.6   0.0268        0        0     0.05     31.3
    -6.4   0.0317        0        0   0.0557     26.4
    -6.2   0.0374        0        0   0.0607     21.9
      -6   0.0439        0        0   0.0647     17.9
    -5.8   0.0511        0        0   0.0686     14.7
    -5.6   0.0592        0        0   0.0735     12.3
    -5.4   0.0683        0        0   0.0794     10.5
    -5.2   0.0787        0        0   0.0836     8.76
      -5   0.0898        0        0   0.0866     7.26
    -4.8    0.102        0        0   0.0899      6.1
    -4.6    0.115        0        0   0.0958     5.28
    -4.4     0.13        0        0   0.0988      4.5
    -4.2    0.145        0        0    0.101      3.8
      -4    0.162        0        0    0.104     3.27
    -3.8    0.179        0        0    0.103     2.74
    -3.6    0.197        0        0    0.109     2.45
    -3.4    0.217        0        0    0.114     2.19
    -3.2    0.238        0        0    0.113     1.87
      -3    0.259        0        0    0.112     1.61
    -2.8    0.281        0        0    0.117     1.46
    -2.6    0.305        0        0    0.116     1.27
    -2.4    0.328        0        0    0.116     1.11
    -2.2    0.353        0        0    0.118     1.01
      -2    0.378        0        0    0.118    0.894
    -1.8    0.404        0        0    0.117      0.8
    -1.6     0.43        0        0    0.117    0.718
    -1.4    0.457        0        0    0.117    0.649
    -1.2    0.484        0        0    0.113    0.568
      -1     0.51        0        0    0.113    0.518
    -0.8    0.538        0        0    0.111    0.469
    -0.6    0.564        0        0    0.107    0.417
    -0.4    0.591        0        0    0.105    0.381
    -0.2    0.617        0        0    0.102    0.342
       0    0.643        0        0      0.1    0.315
     0.2    0.669        0        0   0.0972    0.286
     0.4    0.694        0        0   0.0941     0.26
     0.6    0.719        0        0   0.0893    0.233
     0.8    0.742        0        0   0.0847    0.209
       1    0.765        0        0   0.0838    0.197
     1.2    0.788        0        0   0.0794    0.178
     1.4    0.809        0        0   0.0734    0.157
     1.6    0.829        0        0    0.071    0.146
     1.8    0.849        0        0   0.0669    0.132
       2    0.867        0        0   0.0612    0.117
     2.2    0.884        0        0    0.059    0.109
     2.4    0.901        0        0   0.0552   0.0988
     2.6    0.916        0        0   0.0498   0.0865
     2.8     0.93        0        0   0.0461   0.0781
       3    0.943        0        0   0.0425   0.0704
     3.2    0.955        0        0   0.0406   0.0658
     3.4    0.967        0        0   0.0405   0.0642
     3.6    0.979        0        0   0.0369   0.0575
     3.8    0.989        0        0   0.0351   0.0536
       4        1        0        0    0.035   0.0526
     4.2     1.01        0        0   0.0332    0.049
     4.4     1.02        0        0   0.0331   0.0481
     4.6     1.03        0        0    0.033   0.0471
     4.8     1.04        0        0   0.0493   0.0687
       5     1.06        0        0   0.0491   0.0674
     5.2     1.07        0        0   0.0326   0.0437
     5.4     1.08        0        0   0.0487   0.0637
     5.6      1.1        0        0   0.0646   0.0827
     5.8     1.12        0        0   0.0482   0.0603
       6     1.13        0        0   0.0479   0.0582
     6.2     1.15        0        0   0.0636   0.0756
     6.4     1.17        0        0   0.0633   0.0731
     6.6     1.19        0        0   0.0629   0.0706
     6.8     1.21        0        0   0.0781   0.0847
       7     1.24        0        0   0.0777    0.082
     7.2     1.26        0        0   0.0617    0.063
     7.4     1.28        0        0   0.0767   0.0757
     7.6     1.31        0        0   0.0763   0.0734
     7.8     1.33        0        0   0.0757   0.0702
       8     1.36        0        0   0.0753   0.0681
     8.2     1.38        0        0   0.0748   0.0652
     8.4     1.41        0        0   0.0892   0.0755
     8.6     1.44        0        0   0.0739   0.0607
     8.8     1.46        0        0   0.0734   0.0583
       9     1.49        0        0   0.0876   0.0676
     9.2     1.52        0        0   0.0726   0.0545
     9.4     1.54        0        0   0.0721   0.0524
     9.6     1.57        0        0    0.086   0.0609
     9.8      1.6        0        0   0.0713   0.0491
      10     1.62        0        0   0.0709   0.0473
    10.2     1.65        0        0   0.0706   0.0462
    10.4     1.67        0        0   0.0702   0.0446
    10.6      1.7        0        0   0.0699   0.0435
    10.8     1.72        0        0   0.0556   0.0338
      11     1.74        0        0   0.0554    0.033
    11.2     1.76        0        0   0.0552   0.0323
    11.4     1.78        0        0    0.055   0.0316
    11.6      1.8        0        0   0.0548   0.0309
    11.8     1.82        0        0   0.0546   0.0302
      12     1.84        0        0   0.0408   0.0223
    12.2     1.85        0        0   0.0407   0.0218
    12.4     1.87        0        0   0.0406   0.0216
    12.6     1.88        0        0   0.0405   0.0211
    12.8      1.9        0        0   0.0404   0.0209
      13     1.91        0        0   0.0269   0.0137
    13.2     1.92        0        0   0.0268   0.0136
    13.4     1.93        0        0   0.0268   0.0134
    13.6     1.94        0        0   0.0267   0.0133
    13.8     1.95        0        0   0.0267   0.0131
      14     1.96        0        0   0.0133  0.00654
    14.2     1.96        0        0   0.0133  0.00647
    14.4     1.97        0        0   0.0133  0.00647
    14.6     1.97        0        0   0.0133  0.00641
    14.8     1.98        0        0   0.0133  0.00641
      15     1.98        0        0        0        0
    15.2     1.98        0        0   0.0133  0.00634
    15.4     1.99        0        0   0.0133  0.00634
    15.6     1.99        0        0        0        0
    15.8     1.99        0        0        0        0
      16     1.99        0        0   0.0053  0.00251
    16.5        2        0        0   0.0053  0.00251
      17        2        0        0        0        0
    17.5        2        0        0        0        0
      18        2        0        0        0        0
    18.5        2        0        0        0        0
      19        2        0        0        0        0
